"Time","Area","Value","Metric","Category"
"1994K1"," Nordsjælland","17.6","Index","Vacation house"
"1994K1"," Bornholm","0.0","Index","Vacation house"
"1994K1"," Østsjælland","17.6","Index","Vacation house"
"1994K1"," Vest- og Sydsjælland","22.5","Index","Vacation house"
"1994K1"," Fyn","29.5","Index","Vacation house"
"1994K1"," Sydjylland","34.1","Index","Vacation house"
"1994K1"," Østjylland","27.0","Index","Vacation house"
"1994K1"," Vestjylland","42.7","Index","Vacation house"
"1994K1"," Nordjylland","33.5","Index","Vacation house"
"1994K2","Hele landet","30.4","Index","Vacation house"
"1994K2"," Byen København","0.0","Index","Vacation house"
"1994K2"," Københavns omegn","0.0","Index","Vacation house"
"1994K2"," Nordsjælland","17.7","Index","Vacation house"
"1994K2"," Bornholm","0.0","Index","Vacation house"
"1994K2"," Østsjælland","18.7","Index","Vacation house"
"1994K2"," Vest- og Sydsjælland","22.6","Index","Vacation house"
"1994K2"," Fyn","30.7","Index","Vacation house"
"1994K2"," Sydjylland","34.4","Index","Vacation house"
"1994K2"," Østjylland","27.1","Index","Vacation house"
"1994K2"," Vestjylland","41.7","Index","Vacation house"
"1994K2"," Nordjylland","32.6","Index","Vacation house"
"1994K3","Hele landet","30.2","Index","Vacation house"
"1994K3"," Byen København","0.0","Index","Vacation house"
"1994K3"," Københavns omegn","0.0","Index","Vacation house"
"1994K3"," Nordsjælland","18.2","Index","Vacation house"
"1994K3"," Bornholm","0.0","Index","Vacation house"
"1994K3"," Østsjælland","18.6","Index","Vacation house"
"1994K3"," Vest- og Sydsjælland","22.2","Index","Vacation house"
"1994K3"," Fyn","29.3","Index","Vacation house"
"1994K3"," Sydjylland","33.5","Index","Vacation house"
"1994K3"," Østjylland","26.9","Index","Vacation house"
"1994K3"," Vestjylland","41.2","Index","Vacation house"
"1994K3"," Nordjylland","33.2","Index","Vacation house"
"1994K4","Hele landet","30.2","Index","Vacation house"
"1994K4"," Byen København","0.0","Index","Vacation house"
"1994K4"," Københavns omegn","0.0","Index","Vacation house"
"1994K4"," Nordsjælland","17.1","Index","Vacation house"
"1994K4"," Bornholm","0.0","Index","Vacation house"
"1994K4"," Østsjælland","18.0","Index","Vacation house"
"1994K4"," Vest- og Sydsjælland","22.1","Index","Vacation house"
"1994K4"," Fyn","29.4","Index","Vacation house"
"1994K4"," Sydjylland","33.4","Index","Vacation house"
"1994K4"," Østjylland","27.8","Index","Vacation house"
"1994K4"," Vestjylland","43.6","Index","Vacation house"
"1994K4"," Nordjylland","31.8","Index","Vacation house"
"1995K1","Hele landet","30.7","Index","Vacation house"
"1995K1"," Byen København","0.0","Index","Vacation house"
"1995K1"," Københavns omegn","0.0","Index","Vacation house"
"1995K1"," Nordsjælland","17.2","Index","Vacation house"
"1995K1"," Bornholm","0.0","Index","Vacation house"
"1995K1"," Østsjælland","18.3","Index","Vacation house"
"1995K1"," Vest- og Sydsjælland","22.0","Index","Vacation house"
"1995K1"," Fyn","30.8","Index","Vacation house"
"1995K1"," Sydjylland","36.2","Index","Vacation house"
"1995K1"," Østjylland","27.9","Index","Vacation house"
"1995K1"," Vestjylland","42.5","Index","Vacation house"
"1995K1"," Nordjylland","32.5","Index","Vacation house"
"1995K2","Hele landet","31.3","Index","Vacation house"
"1995K2"," Byen København","0.0","Index","Vacation house"
"1995K2"," Københavns omegn","0.0","Index","Vacation house"
"1995K2"," Nordsjælland","18.4","Index","Vacation house"
"1995K2"," Bornholm","0.0","Index","Vacation house"
"1995K2"," Østsjælland","19.6","Index","Vacation house"
"1995K2"," Vest- og Sydsjælland","22.7","Index","Vacation house"
"1995K2"," Fyn","32.3","Index","Vacation house"
"1995K2"," Sydjylland","35.4","Index","Vacation house"
"1995K2"," Østjylland","28.1","Index","Vacation house"
"1995K2"," Vestjylland","42.7","Index","Vacation house"
"1995K2"," Nordjylland","33.6","Index","Vacation house"
"1995K3","Hele landet","30.9","Index","Vacation house"
"1995K3"," Byen København","0.0","Index","Vacation house"
"1995K3"," Københavns omegn","0.0","Index","Vacation house"
"1995K3"," Nordsjælland","18.3","Index","Vacation house"
"1995K3"," Bornholm","0.0","Index","Vacation house"
"1995K3"," Østsjælland","20.1","Index","Vacation house"
"1995K3"," Vest- og Sydsjælland","22.8","Index","Vacation house"
"1995K3"," Fyn","32.1","Index","Vacation house"
"1995K3"," Sydjylland","33.9","Index","Vacation house"
"1995K3"," Østjylland","27.6","Index","Vacation house"
"1995K3"," Vestjylland","41.7","Index","Vacation house"
"1995K3"," Nordjylland","33.7","Index","Vacation house"
"1995K4","Hele landet","31.7","Index","Vacation house"
"1995K4"," Byen København","0.0","Index","Vacation house"
"1995K4"," Københavns omegn","0.0","Index","Vacation house"
"1995K4"," Nordsjælland","19.0","Index","Vacation house"
"1995K4"," Bornholm","0.0","Index","Vacation house"
"1995K4"," Østsjælland","21.1","Index","Vacation house"
"1995K4"," Vest- og Sydsjælland","22.2","Index","Vacation house"
"1995K4"," Fyn","30.5","Index","Vacation house"
"1995K4"," Sydjylland","34.6","Index","Vacation house"
"1995K4"," Østjylland","28.6","Index","Vacation house"
"1995K4"," Vestjylland","43.8","Index","Vacation house"
"1995K4"," Nordjylland","34.4","Index","Vacation house"
"1996K1","Hele landet","32.5","Index","Vacation house"
"1996K1"," Byen København","0.0","Index","Vacation house"
"1996K1"," Københavns omegn","0.0","Index","Vacation house"
"1996K1"," Nordsjælland","20.2","Index","Vacation house"
"1996K1"," Bornholm","0.0","Index","Vacation house"
"1996K1"," Østsjælland","21.3","Index","Vacation house"
"1996K1"," Vest- og Sydsjælland","24.6","Index","Vacation house"
"1996K1"," Fyn","33.4","Index","Vacation house"
"1996K1"," Sydjylland","39.2","Index","Vacation house"
"1996K1"," Østjylland","30.0","Index","Vacation house"
"1996K1"," Vestjylland","47.5","Index","Vacation house"
"1996K1"," Nordjylland","35.2","Index","Vacation house"
"1996K2","Hele landet","33.6","Index","Vacation house"
"1996K2"," Byen København","0.0","Index","Vacation house"
"1996K2"," Københavns omegn","0.0","Index","Vacation house"
"1996K2"," Nordsjælland","20.9","Index","Vacation house"
"1996K2"," Bornholm","0.0","Index","Vacation house"
"1996K2"," Østsjælland","22.9","Index","Vacation house"
"1996K2"," Vest- og Sydsjælland","25.2","Index","Vacation house"
"1996K2"," Fyn","35.9","Index","Vacation house"
"1996K2"," Sydjylland","41.2","Index","Vacation house"
"1996K2"," Østjylland","31.6","Index","Vacation house"
"1996K2"," Vestjylland","46.8","Index","Vacation house"
"1996K2"," Nordjylland","36.6","Index","Vacation house"
"1996K3","Hele landet","33.5","Index","Vacation house"
"1996K3"," Byen København","0.0","Index","Vacation house"
"1996K3"," Københavns omegn","0.0","Index","Vacation house"
"1996K3"," Nordsjælland","21.4","Index","Vacation house"
"1996K3"," Bornholm","0.0","Index","Vacation house"
"1996K3"," Østsjælland","22.0","Index","Vacation house"
"1996K3"," Vest- og Sydsjælland","24.8","Index","Vacation house"
"1996K3"," Fyn","36.1","Index","Vacation house"
"1996K3"," Sydjylland","40.5","Index","Vacation house"
"1996K3"," Østjylland","32.1","Index","Vacation house"
"1996K3"," Vestjylland","47.1","Index","Vacation house"
"1996K3"," Nordjylland","36.2","Index","Vacation house"
"1996K4","Hele landet","34.2","Index","Vacation house"
"1996K4"," Byen København","0.0","Index","Vacation house"
"1996K4"," Københavns omegn","0.0","Index","Vacation house"
"1996K4"," Nordsjælland","21.7","Index","Vacation house"
"1996K4"," Bornholm","0.0","Index","Vacation house"
"1996K4"," Østsjælland","22.9","Index","Vacation house"
"1996K4"," Vest- og Sydsjælland","25.0","Index","Vacation house"
"1996K4"," Fyn","38.6","Index","Vacation house"
"1996K4"," Sydjylland","41.6","Index","Vacation house"
"1996K4"," Østjylland","31.6","Index","Vacation house"
"1996K4"," Vestjylland","48.0","Index","Vacation house"
"1996K4"," Nordjylland","37.1","Index","Vacation house"
"1997K1","Hele landet","35.4","Index","Vacation house"
"1997K1"," Byen København","0.0","Index","Vacation house"
"1997K1"," Københavns omegn","0.0","Index","Vacation house"
"1997K1"," Nordsjælland","22.6","Index","Vacation house"
"1997K1"," Bornholm","0.0","Index","Vacation house"
"1997K1"," Østsjælland","23.7","Index","Vacation house"
"1997K1"," Vest- og Sydsjælland","26.0","Index","Vacation house"
"1997K1"," Fyn","37.9","Index","Vacation house"
"1997K1"," Sydjylland","42.4","Index","Vacation house"
"1997K1"," Østjylland","33.5","Index","Vacation house"
"1997K1"," Vestjylland","49.6","Index","Vacation house"
"1997K1"," Nordjylland","38.0","Index","Vacation house"
"1997K2","Hele landet","36.2","Index","Vacation house"
"1997K2"," Byen København","0.0","Index","Vacation house"
"1997K2"," Københavns omegn","0.0","Index","Vacation house"
"1997K2"," Nordsjælland","22.9","Index","Vacation house"
"1997K2"," Bornholm","0.0","Index","Vacation house"
"1997K2"," Østsjælland","26.2","Index","Vacation house"
"1997K2"," Vest- og Sydsjælland","26.8","Index","Vacation house"
"1997K2"," Fyn","40.1","Index","Vacation house"
"1997K2"," Sydjylland","42.7","Index","Vacation house"
"1997K2"," Østjylland","34.9","Index","Vacation house"
"1997K2"," Vestjylland","49.3","Index","Vacation house"
"1997K2"," Nordjylland","39.2","Index","Vacation house"
"1997K3","Hele landet","36.6","Index","Vacation house"
"1997K3"," Byen København","0.0","Index","Vacation house"
"1997K3"," Københavns omegn","0.0","Index","Vacation house"
"1997K3"," Nordsjælland","23.8","Index","Vacation house"
"1997K3"," Bornholm","0.0","Index","Vacation house"
"1997K3"," Østsjælland","23.8","Index","Vacation house"
"1997K3"," Vest- og Sydsjælland","26.8","Index","Vacation house"
"1997K3"," Fyn","41.5","Index","Vacation house"
"1997K3"," Sydjylland","43.9","Index","Vacation house"
"1997K3"," Østjylland","35.1","Index","Vacation house"
"1997K3"," Vestjylland","49.6","Index","Vacation house"
"1997K3"," Nordjylland","38.9","Index","Vacation house"
"1997K4","Hele landet","36.4","Index","Vacation house"
"1997K4"," Byen København","0.0","Index","Vacation house"
"1997K4"," Københavns omegn","0.0","Index","Vacation house"
"1997K4"," Nordsjælland","23.2","Index","Vacation house"
"1997K4"," Bornholm","0.0","Index","Vacation house"
