"","Time","Area","Value","Metric","Type"
"92","1993K4"," Fyn",29.6,"Index","Vacation house"
"93","1993K4"," Sydjylland",35.2,"Index","Vacation house"
"94","1993K4"," Østjylland",26.6,"Index","Vacation house"
"95","1993K4"," Vestjylland",40.1,"Index","Vacation house"
"96","1993K4"," Nordjylland",31,"Index","Vacation house"
"97","1994K1","Hele landet",30.9,"Index","Vacation house"
"98","1994K1"," Byen København",0,"Index","Vacation house"
"99","1994K1"," Københavns omegn",0,"Index","Vacation house"
"100","1994K1"," Nordsjælland",17.6,"Index","Vacation house"
"101","1994K1"," Bornholm",0,"Index","Vacation house"
"102","1994K1"," Østsjælland",17.6,"Index","Vacation house"
"103","1994K1"," Vest- og Sydsjælland",22.5,"Index","Vacation house"
"104","1994K1"," Fyn",29.5,"Index","Vacation house"
"105","1994K1"," Sydjylland",34.1,"Index","Vacation house"
"106","1994K1"," Østjylland",27,"Index","Vacation house"
"107","1994K1"," Vestjylland",42.7,"Index","Vacation house"
"108","1994K1"," Nordjylland",33.5,"Index","Vacation house"
"109","1994K2","Hele landet",30.4,"Index","Vacation house"
"110","1994K2"," Byen København",0,"Index","Vacation house"
"111","1994K2"," Københavns omegn",0,"Index","Vacation house"
"112","1994K2"," Nordsjælland",17.7,"Index","Vacation house"
"113","1994K2"," Bornholm",0,"Index","Vacation house"
"114","1994K2"," Østsjælland",18.7,"Index","Vacation house"
"115","1994K2"," Vest- og Sydsjælland",22.6,"Index","Vacation house"
"116","1994K2"," Fyn",30.7,"Index","Vacation house"
"117","1994K2"," Sydjylland",34.4,"Index","Vacation house"
"118","1994K2"," Østjylland",27.1,"Index","Vacation house"
"119","1994K2"," Vestjylland",41.7,"Index","Vacation house"
"120","1994K2"," Nordjylland",32.6,"Index","Vacation house"
"121","1994K3","Hele landet",30.2,"Index","Vacation house"
"122","1994K3"," Byen København",0,"Index","Vacation house"
"123","1994K3"," Københavns omegn",0,"Index","Vacation house"
"124","1994K3"," Nordsjælland",18.2,"Index","Vacation house"
"125","1994K3"," Bornholm",0,"Index","Vacation house"
"126","1994K3"," Østsjælland",18.6,"Index","Vacation house"
"127","1994K3"," Vest- og Sydsjælland",22.2,"Index","Vacation house"
"128","1994K3"," Fyn",29.3,"Index","Vacation house"
"129","1994K3"," Sydjylland",33.5,"Index","Vacation house"
"130","1994K3"," Østjylland",26.9,"Index","Vacation house"
"131","1994K3"," Vestjylland",41.2,"Index","Vacation house"
"132","1994K3"," Nordjylland",33.2,"Index","Vacation house"
"133","1994K4","Hele landet",30.2,"Index","Vacation house"
"134","1994K4"," Byen København",0,"Index","Vacation house"
"135","1994K4"," Københavns omegn",0,"Index","Vacation house"
"136","1994K4"," Nordsjælland",17.1,"Index","Vacation house"
"137","1994K4"," Bornholm",0,"Index","Vacation house"
"138","1994K4"," Østsjælland",18,"Index","Vacation house"
"139","1994K4"," Vest- og Sydsjælland",22.1,"Index","Vacation house"
"140","1994K4"," Fyn",29.4,"Index","Vacation house"
"141","1994K4"," Sydjylland",33.4,"Index","Vacation house"
"142","1994K4"," Østjylland",27.8,"Index","Vacation house"
"143","1994K4"," Vestjylland",43.6,"Index","Vacation house"
"144","1994K4"," Nordjylland",31.8,"Index","Vacation house"
"145","1995K1","Hele landet",30.7,"Index","Vacation house"
"146","1995K1"," Byen København",0,"Index","Vacation house"
"147","1995K1"," Københavns omegn",0,"Index","Vacation house"
"148","1995K1"," Nordsjælland",17.2,"Index","Vacation house"
