"Time","Area","Value","Metric","Category"
"1993K4"," Bornholm","0.0","Pct_q","Vacation house"
"1993K4"," Østsjælland","-0.6","Pct_q","Vacation house"
"1993K4"," Vest- og Sydsjælland","-2.3","Pct_q","Vacation house"
"1993K4"," Fyn","1.7","Pct_q","Vacation house"
"1993K4"," Sydjylland","10.7","Pct_q","Vacation house"
"1993K4"," Østjylland","4.3","Pct_q","Vacation house"
"1993K4"," Vestjylland","2.6","Pct_q","Vacation house"
"1993K4"," Nordjylland","0.0","Pct_q","Vacation house"
"1994K1","Hele landet","3.7","Pct_q","Vacation house"
"1994K1"," Byen København","0.0","Pct_q","Vacation house"
"1994K1"," Københavns omegn","0.0","Pct_q","Vacation house"
"1994K1"," Nordsjælland","1.7","Pct_q","Vacation house"
"1994K1"," Bornholm","0.0","Pct_q","Vacation house"
"1994K1"," Østsjælland","2.9","Pct_q","Vacation house"
"1994K1"," Vest- og Sydsjælland","8.2","Pct_q","Vacation house"
"1994K1"," Fyn","-0.3","Pct_q","Vacation house"
"1994K1"," Sydjylland","-3.1","Pct_q","Vacation house"
"1994K1"," Østjylland","1.5","Pct_q","Vacation house"
"1994K1"," Vestjylland","6.5","Pct_q","Vacation house"
"1994K1"," Nordjylland","8.1","Pct_q","Vacation house"
"1994K2","Hele landet","-1.6","Pct_q","Vacation house"
"1994K2"," Byen København","0.0","Pct_q","Vacation house"
"1994K2"," Københavns omegn","0.0","Pct_q","Vacation house"
"1994K2"," Nordsjælland","0.6","Pct_q","Vacation house"
"1994K2"," Bornholm","0.0","Pct_q","Vacation house"
"1994K2"," Østsjælland","6.3","Pct_q","Vacation house"
"1994K2"," Vest- og Sydsjælland","0.4","Pct_q","Vacation house"
"1994K2"," Fyn","4.1","Pct_q","Vacation house"
"1994K2"," Sydjylland","0.9","Pct_q","Vacation house"
"1994K2"," Østjylland","0.4","Pct_q","Vacation house"
"1994K2"," Vestjylland","-2.3","Pct_q","Vacation house"
"1994K2"," Nordjylland","-2.7","Pct_q","Vacation house"
"1994K3","Hele landet","-0.7","Pct_q","Vacation house"
"1994K3"," Byen København","0.0","Pct_q","Vacation house"
"1994K3"," Københavns omegn","0.0","Pct_q","Vacation house"
"1994K3"," Nordsjælland","2.8","Pct_q","Vacation house"
"1994K3"," Bornholm","0.0","Pct_q","Vacation house"
"1994K3"," Østsjælland","-0.5","Pct_q","Vacation house"
"1994K3"," Vest- og Sydsjælland","-1.8","Pct_q","Vacation house"
"1994K3"," Fyn","-4.6","Pct_q","Vacation house"
"1994K3"," Sydjylland","-2.6","Pct_q","Vacation house"
"1994K3"," Østjylland","-0.7","Pct_q","Vacation house"
"1994K3"," Vestjylland","-1.2","Pct_q","Vacation house"
"1994K3"," Nordjylland","1.8","Pct_q","Vacation house"
"1994K4","Hele landet","0.0","Pct_q","Vacation house"
"1994K4"," Byen København","0.0","Pct_q","Vacation house"
"1994K4"," Københavns omegn","0.0","Pct_q","Vacation house"
"1994K4"," Nordsjælland","-6.0","Pct_q","Vacation house"
"1994K4"," Bornholm","0.0","Pct_q","Vacation house"
"1994K4"," Østsjælland","-3.2","Pct_q","Vacation house"
"1994K4"," Vest- og Sydsjælland","-0.5","Pct_q","Vacation house"
"1994K4"," Fyn","0.3","Pct_q","Vacation house"
"1994K4"," Sydjylland","-0.3","Pct_q","Vacation house"
"1994K4"," Østjylland","3.3","Pct_q","Vacation house"
"1994K4"," Vestjylland","5.8","Pct_q","Vacation house"
"1994K4"," Nordjylland","-4.2","Pct_q","Vacation house"
"1995K1","Hele landet","1.7","Pct_q","Vacation house"
"1995K1"," Byen København","0.0","Pct_q","Vacation house"
"1995K1"," Københavns omegn","0.0","Pct_q","Vacation house"
"1995K1"," Nordsjælland","0.6","Pct_q","Vacation house"
"1995K1"," Bornholm","0.0","Pct_q","Vacation house"
"1995K1"," Østsjælland","1.7","Pct_q","Vacation house"
"1995K1"," Vest- og Sydsjælland","-0.5","Pct_q","Vacation house"
"1995K1"," Fyn","4.8","Pct_q","Vacation house"
"1995K1"," Sydjylland","8.4","Pct_q","Vacation house"
"1995K1"," Østjylland","0.4","Pct_q","Vacation house"
"1995K1"," Vestjylland","-2.5","Pct_q","Vacation house"
"1995K1"," Nordjylland","2.2","Pct_q","Vacation house"
"1995K2","Hele landet","2.0","Pct_q","Vacation house"
"1995K2"," Byen København","0.0","Pct_q","Vacation house"
"1995K2"," Københavns omegn","0.0","Pct_q","Vacation house"
"1995K2"," Nordsjælland","7.0","Pct_q","Vacation house"
"1995K2"," Bornholm","0.0","Pct_q","Vacation house"
"1995K2"," Østsjælland","7.1","Pct_q","Vacation house"
"1995K2"," Vest- og Sydsjælland","3.2","Pct_q","Vacation house"
"1995K2"," Fyn","4.9","Pct_q","Vacation house"
"1995K2"," Sydjylland","-2.2","Pct_q","Vacation house"
"1995K2"," Østjylland","0.7","Pct_q","Vacation house"
"1995K2"," Vestjylland","0.5","Pct_q","Vacation house"
"1995K2"," Nordjylland","3.4","Pct_q","Vacation house"
"1995K3","Hele landet","-1.3","Pct_q","Vacation house"
"1995K3"," Byen København","0.0","Pct_q","Vacation house"
"1995K3"," Københavns omegn","0.0","Pct_q","Vacation house"
"1995K3"," Nordsjælland","-0.5","Pct_q","Vacation house"
"1995K3"," Bornholm","0.0","Pct_q","Vacation house"
"1995K3"," Østsjælland","2.6","Pct_q","Vacation house"
"1995K3"," Vest- og Sydsjælland","0.4","Pct_q","Vacation house"
"1995K3"," Fyn","-0.6","Pct_q","Vacation house"
"1995K3"," Sydjylland","-4.2","Pct_q","Vacation house"
"1995K3"," Østjylland","-1.8","Pct_q","Vacation house"
"1995K3"," Vestjylland","-2.3","Pct_q","Vacation house"
"1995K3"," Nordjylland","0.3","Pct_q","Vacation house"
"1995K4","Hele landet","2.6","Pct_q","Vacation house"
"1995K4"," Byen København","0.0","Pct_q","Vacation house"
"1995K4"," Københavns omegn","0.0","Pct_q","Vacation house"
"1995K4"," Nordsjælland","3.8","Pct_q","Vacation house"
"1995K4"," Bornholm","0.0","Pct_q","Vacation house"
"1995K4"," Østsjælland","5.0","Pct_q","Vacation house"
"1995K4"," Vest- og Sydsjælland","-2.6","Pct_q","Vacation house"
"1995K4"," Fyn","-5.0","Pct_q","Vacation house"
"1995K4"," Sydjylland","2.1","Pct_q","Vacation house"
"1995K4"," Østjylland","3.6","Pct_q","Vacation house"
"1995K4"," Vestjylland","5.0","Pct_q","Vacation house"
"1995K4"," Nordjylland","2.1","Pct_q","Vacation house"
"1996K1","Hele landet","2.5","Pct_q","Vacation house"
"1996K1"," Byen København","0.0","Pct_q","Vacation house"
"1996K1"," Københavns omegn","0.0","Pct_q","Vacation house"
"1996K1"," Nordsjælland","6.3","Pct_q","Vacation house"
"1996K1"," Bornholm","0.0","Pct_q","Vacation house"
"1996K1"," Østsjælland","0.9","Pct_q","Vacation house"
"1996K1"," Vest- og Sydsjælland","10.8","Pct_q","Vacation house"
"1996K1"," Fyn","9.5","Pct_q","Vacation house"
